,covariance,beta1,beta2,p,pca_coef,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,true_val_coef,pca_ape,mismeasured_coef_ape,mismeasured_allvar_coef_ape,mismeasured_avg_coef_ape
290,0.0,10.0,0.1,20,9.996726489426385,9.996617756786417,9.994504743752644,9.996747196404433,9.996701505351608,0.0003273510573615468,0.0003382243213582825,0.0005495256247355585,0.00032528035955667887
291,0.0,10.0,0.1,50,10.024785017061092,10.024693459258923,10.033620252921649,10.024708120843009,10.024390028064158,0.002478501706109171,0.002469345925892341,0.003362025292164894,0.0024708120843008885
292,0.0,10.0,1.0,5,10.001147865092868,9.994888851175284,10.000651949727063,10.003200926638296,10.01015771110697,0.00011478650928680168,0.0005111148824715528,6.519497270627284e-05,0.00032009266382964084
293,0.0,10.0,1.0,10,9.989093415130474,9.982887919860456,9.983884751179442,9.988174016212186,9.987769862084464,0.001090658486952556,0.0017112080139543907,0.0016115248820558036,0.0011825983787813854
294,0.0,10.0,1.0,20,10.009237068933231,10.006803519076094,10.013789991463737,10.007508970286926,10.009035120727802,0.0009237068933231285,0.0006803519076093778,0.0013789991463736939,0.0007508970286925987
295,0.0,10.0,1.0,50,10.010616741712159,10.01921134837716,10.004154765731707,10.008925998423862,10.008123166599548,0.0010616741712158983,0.001921134837716032,0.0004154765731707144,0.0008925998423862325
296,0.0,10.0,10.0,5,9.967124156383255,9.999275712683128,9.985332567528753,9.984500317094694,9.990175868259405,0.0032875843616745116,7.242873168724628e-05,0.0014667432471247466,0.0015499682905305789
297,0.0,10.0,10.0,10,10.03394224020426,9.983480059676236,10.048512796825047,10.030801530780701,10.014289876379136,0.0033942240204259734,0.001651994032376436,0.0048512796825047385,0.003080153078070147
298,0.0,10.0,10.0,20,9.992939934419901,10.01535620060589,10.015395742046616,9.98806383979417,10.007794355326608,0.0007060065580098751,0.0015356200605889825,0.001539574204661598,0.0011936160205829438
299,0.0,10.0,10.0,50,10.021309199978717,10.05721377138526,10.029306430472655,10.01347162036252,10.01152597621355,0.002130919997871672,0.0057213771385260515,0.002930643047265491,0.0013471620362519587
