,covariance,beta1,beta2,p,pca_coef,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,true_val_coef,pca_ape,mismeasured_coef_ape,mismeasured_allvar_coef_ape,mismeasured_avg_coef_ape
135,-0.5,0.1,1.0,50,0.11831841220336298,0.12851956123279898,0.15333441119600819,0.11878409839591078,0.1162722968723886,0.18318412203362971,0.28519561232798973,0.5333441119600818,0.18784098395910775
136,-0.5,0.1,10.0,5,0.4915152336716378,0.6817963332556868,0.4970401826385115,0.48480149476856804,0.11273095149778337,3.9151523367163774,5.817963332556868,3.970401826385115,3.8480149476856806
137,-0.5,0.1,10.0,10,0.3990741190157846,0.7675860049947435,0.39303269676162506,0.3936944507951309,0.1093629524767928,2.9907411901578462,6.675860049947435,2.9303269676162502,2.936944507951309
138,-0.5,0.1,10.0,20,0.31406330107441055,0.6330999604415983,0.28758551579098285,0.27240737252527225,0.09670231524918821,2.1406330107441054,5.330999604415983,1.8758551579098284,1.7240737252527223
139,-0.5,0.1,10.0,50,0.25298752662870005,0.7568927221246892,0.24766434412158447,0.187703365520654,0.11339078019664253,1.5298752662870003,6.568927221246891,1.4766434412158447,0.87703365520654
140,-0.5,0.1,100.0,5,4.917905128123529,7.264985564849002,4.515347815204189,4.599984369241892,0.1186602201036193,48.17905128123529,71.64985564849002,44.15347815204189,44.99984369241892
141,-0.5,0.1,100.0,10,3.6070137022123414,7.376594255717397,3.727076343841423,3.503786538824854,0.11259815203414246,35.07013702212341,72.76594255717397,36.27076343841423,34.037865388248534
142,-0.5,0.1,100.0,20,2.7917357964017073,7.29790703619278,2.673150173164704,2.505094785789772,0.1305397384156267,26.91735796401707,71.9790703619278,25.73150173164704,24.050947857897718
143,-0.5,0.1,100.0,50,1.786155186008144,7.773601326718783,2.2501731874547457,1.5269778661038815,0.11293017637199113,16.861551860081438,76.73601326718783,21.501731874547456,14.269778661038814
144,-0.5,1.0,0.1,5,0.11766578029300569,0.11299453668861094,0.12096617451336968,0.11786479218869311,0.11927248284992878,0.8823342197069943,0.8870054633113891,0.8790338254866303,0.8821352078113069
145,-0.5,1.0,0.1,10,0.11916782511709037,0.11287595000722725,0.12317018428823746,0.11942970281104055,0.12499106346406591,0.8808321748829097,0.8871240499927727,0.8768298157117626,0.8805702971889594
146,-0.5,1.0,0.1,20,0.11763300517053597,0.1077600473350864,0.13730943238195792,0.11772504354650347,0.11869971453928674,0.882366994829464,0.8922399526649136,0.8626905676180421,0.8822749564534965
147,-0.5,1.0,0.1,50,0.13024536224532646,0.11736968330164907,0.18439607294430155,0.13053438564596423,0.13058730589541115,0.8697546377546735,0.8826303166983509,0.8156039270556985,0.8694656143540358
148,-0.5,1.0,1.0,5,0.12391673082985086,0.13079874406278413,0.12280065425991395,0.12356084652938515,0.11926069362365338,0.8760832691701491,0.8692012559372159,0.8771993457400861,0.8764391534706149
149,-0.5,1.0,1.0,10,0.11499020041584952,0.12006642353948459,0.11650264706069022,0.11245275574915024,0.11204738376200281,0.8850097995841505,0.8799335764605154,0.8834973529393098,0.8875472442508497
150,-0.5,1.0,1.0,20,0.11260404993927617,0.13423387964546835,0.12891096549511838,0.1142730353097274,0.11269596517327786,0.8873959500607238,0.8657661203545317,0.8710890345048816,0.8857269646902726
151,-0.5,1.0,1.0,50,0.12008588100959389,0.13710483271747978,0.15398369311808968,0.12098041164871166,0.12016459067773608,0.8799141189904061,0.8628951672825202,0.8460163068819103,0.8790195883512884
152,-0.5,1.0,10.0,5,0.5435638521952062,0.7727947867791982,0.5292972974702409,0.5376471136207445,0.10757905870304352,0.4564361478047938,0.22720521322080178,0.4707027025297591,0.46235288637925553
153,-0.5,1.0,10.0,10,0.41965959628909516,0.6661763084709702,0.40767630232746604,0.3950068787504003,0.11494043172782965,0.5803404037109048,0.3338236915290298,0.5923236976725339,0.6049931212495997
154,-0.5,1.0,10.0,20,0.3309554759331207,0.6622506366563037,0.332882053353299,0.2990692082761109,0.115078045226673,0.6690445240668793,0.3377493633436963,0.667117946646701,0.7009307917238892
155,-0.5,1.0,10.0,50,0.23844025043992695,0.7941974219433613,0.3001759160754164,0.20043493296248388,0.12034778922452785,0.761559749560073,0.2058025780566387,0.6998240839245836,0.7995650670375161
