economy,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AGO,NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281.3135735087,3313.88875788553,3088.53249989352,2326.64530296358,2331.70491551546,2651.02028294565,2968.24368662168,3136.51670801063,3215.10540973782,3226.12854878707,3289.41035208343,3389.19696673566,3785.15053816335,3838.79462877094,4225.46635014197,4837.7103248494,5362.02090732509,6050.60968618101,6607.29224335356,6470.6735199461,6587.98722101771,6710.75034592031,7412.96526317885,7682.47715828865,8179.29600657648,7337.56955890673,7103.22593805788,7310.90173803536,7102.40588709233,6965.51137380329,
AGO,NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,680.0,660.0,650.0,850.0,780.0,900.0,330.0,290.0,180.0,370.0,360.0,450.0,410.0,330.0,360.0,390.0,590.0,710.0,1010.0,1370.0,1810.0,2460.0,3030.0,3170.0,3230.0,3410.0,4170.0,4780.0,5010.0,4520.0,3770.0,3450.0,3210.0,2960.0,
AGO,NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990.0,3310.0,1630.0,1490.0,1260.0,2350.0,2420.0,2830.0,2820.0,2640.0,2790.0,2910.0,3380.0,3470.0,3780.0,4310.0,4730.0,5350.0,5580.0,5840.0,5950.0,6130.0,6810.0,7130.0,7680.0,6960.0,6730.0,6860.0,6550.0,6380.0,
AGO,SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.20956802,45.64084244,39.30446243,41.30799866,42.51447678,44.8341713,53.77399445,57.89378738,64.35443115,67.67429352,62.11627579,64.75706482,65.25455475,62.0297966,54.15326309,47.36523056,44.13825607,46.27865219,41.92943954,,
AGO,SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,,,34.4,,,,,,,,,,49.9,,
AGO,SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,11.6,,,,,,,,,,22.7,,
AGO,SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,
AGO,SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14384.7618423002,13120.1333548604,9642.52605045308,9461.03921439395,10538.5820116836,11603.5236251729,12053.9479196586,12211.188950153,12064.7727580723,12012.9542027301,12112.9476047782,13326.3631669084,13258.9954880825,14204.0897686491,15763.5395571277,16962.8515541595,18640.7270233918,19968.6265190736,19419.8662638462,20750.6170011482,20250.4184746656,21209.3874624806,21475.2792602539,21704.4493649628,21126.6401379206,19854.8871476055,19125.6402001327,18079.1851417641,17339.2717108859,
AGO,SP.DYN.LE00.IN,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178,40.546,40.914,41.282,41.65,42.016,42.374,42.721,43.053,43.367,43.66,43.931,44.178,44.404,44.611,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,
ALB,FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166509702.571381,223594867.335972,265298057.978901,323376838.747386,342425753.029904,417921457.174903,523112274.341877,646305676.491804,770581227.384293,866478231.283188,1038294231.23302,1387912853.56432,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,
ALB,NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.484735848211,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97766752106,717.380567391734,813.790263555599,1033.2416930932,1126.68331762741,1281.65939343074,1425.12484888368,1846.11881331912,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54012699014,4114.14011404922,4094.3503344202,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5353.2448564014,
ALB,NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.84576399077,1908.64433085802,1822.85907646873,2056.94345353532,2289.30974799364,2665.10903649849,2979.3330899284,2716.69355834805,3020.93057263444,3471.65635908955,3862.48437763265,4301.38282973192,4661.37914319822,4994.92469274671,5423.20168382235,5865.31759085604,6557.80133674236,7274.52468523841,8228.32755984622,8819.51009173416,9636.10870469977,10207.7335023376,10526.3189737173,10570.9681040326,11259.2967004521,11658.8660596051,12078.8007284137,12811.7594357276,13974.0116065658,14648.2674019058,
